country,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
1997-Q2,,,,-122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14836.8,1683756.1,,3709.2,37.7,0.40985,3.27187,,,8161.4,39324.4,2044418.6,,,,,,,,2635.7,,5769.1,9360.6,1062605.5,,2340.2,,0.62681,2.41304,,,4921.7,24789.6,1288774.3,1523.2,172911.4,,380.8,,-8.54843,0.08791,,,875.8,4412.9,229421.0,,,,,3754.1,426189.4,,938.5,,-0.43229,7.52689,,,1914.1,8694.3,452006.4,,72.3,,,,,,,,,,,1626.1,184593.7,,406.5,,-0.26093,4.95452,,,793.7,3636.0,189031.4,1742.6,197808.9,,435.6,,-2.81364,18.89046,,,915.7,4430.0,230307.1,8.8093,315.2,,6.5,,,2221.5
1997-Q3,,,,-53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15075.6,1714977.9,,3768.9,37.9,1.19283,3.99521,,,8258.8,39793.5,2068805.1,,,,,,,,2787.9,,5909.0,9680.6,1101565.9,,2420.1,,1.47123,3.69894,,,4994.1,25154.3,1307735.2,1550.3,176408.1,,387.6,,5.51064,10.35618,,,924.0,4656.1,242063.6,,,,,3806.9,433227.5,,951.7,,1.07172,5.68703,,,1934.6,8787.5,456850.6,,-24.1,,,,,,,,,,,1616.3,183912.5,,404.1,,6.87368,-21.46401,,,848.2,3885.9,202024.8,1860.3,211680.9,,465.1,,-1.56037,-1.782,,,901.4,4360.8,226713.4,8.78817,281.9,,94.6,,,1670.5
1997-Q4,,,,-154.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15563.6,1748900.6,,3890.9,38.5,1.60086,4.01085,,,8391.0,40430.5,2101923.7,,,,,,,,2939.4,,6012.8,9897.3,1112491.2,,2474.3,,-0.19745,2.87369,,,4984.2,25104.6,1305153.0,1651.4,185624.7,,412.9,,6.15898,12.97542,,,980.9,4942.9,256972.2,,,,,3962.1,445389.5,,990.5,,2.88805,6.75986,,,1990.4,9041.3,470044.7,,128.2,,,,,,,,,,,1728.7,194306.2,,432.2,,-0.37591,2.91473,,,845.0,3871.3,201265.3,1884.5,211824.6,,471.1,,10.87516,10.01395,,,999.4,4835.1,251368.9,8.89666,208.6,,-76.0,,,2305.5
1998-Q1,,,,-303.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16254.4,1777483.0,,4063.6,39.6,1.63007,4.91695,,,8527.8,41089.6,2136186.6,,,,,,,,3096.3,,6201.9,10247.5,1120928.3,,2561.9,,1.04674,2.97234,,,5036.4,25367.4,1318814.6,2114.8,231323.1,,528.7,,17.80951,20.67699,,,1155.6,5823.2,302737.7,,,,,4038.5,441783.1,,1009.6,,0.61581,4.17879,,,2002.7,9097.0,472939.3,,1.3,,,,,,,,,,,1686.1,184428.6,,421.5,,4.8206,11.31329,,,885.8,4058.0,210967.5,1911.7,209113.7,,477.9,,18.98892,26.21648,,,1189.2,5753.2,299101.1,9.14214,79.3,,18.5,,,2497.3
1998-Q2,,,,-567.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16779.6,1806994.9,,4194.9,40.3,1.31074,5.85828,,,8639.5,41628.1,2164186.4,,,,,,,,3211.7,,6419.7,10693.1,1151874.6,,2673.3,,7.64088,10.1499,,,5421.2,27305.7,1419583.6,2149.8,231571.4,,537.4,,3.61875,36.73248,,,1197.5,6033.9,313693.0,,,,,4214.8,454060.2,,1053.7,,1.92908,6.64952,,,2041.3,9272.5,482062.7,,39.5,,,,,,,,,,,1824.7,196552.2,,456.2,,-14.892,-5.01564,,,753.9,3453.6,179550.2,2304.6,248245.1,,576.1,,11.09691,44.28219,,,1321.2,6391.6,332292.1,9.28339,201.8,,11.0,,,1954.1
1998-Q3,,,,-187.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17512.5,1849087.2,,4378.1,41.3,1.81475,6.50887,,,8796.3,42383.6,2203460.9,,,,,,,,3346.3,,6535.4,11759.5,1242007.2,,2939.9,,0.72207,9.33667,,,5460.4,27502.9,1429834.0,2144.6,226507.4,,536.2,,-6.97207,20.55599,,,1114.0,5613.2,291822.1,,,,,4344.7,458907.7,,1086.2,,1.90702,7.53092,,,2080.3,9449.3,491255.7,,170.9,,,,,,,,,,,2045.6,216049.7,,511.4,,37.52829,22.22876,,,1036.8,4749.7,246932.4,2317.0,244707.2,,579.2,,-7.31653,35.84543,,,1224.5,5924.0,307979.8,9.4683,-465.0,,-287.2,,,992.5
1998-Q4,,,,-166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18134.8,1881326.1,,4533.7,42.2,1.31071,6.20471,,,8911.6,42939.1,2232341.9,,,,,,,,3399.8,,6012.2,11331.1,1175845.3,,2832.8,,-11.44207,-2.98215,,,4835.6,24356.0,1266231.4,2046.3,212344.4,,511.6,,-8.62751,3.7642,,,1017.9,5128.9,266645.2,,,,,4479.5,464872.6,,1119.9,,2.36991,6.98939,,,2129.6,9673.2,502898.0,,-229.6,,,,,,,,,,,1919.1,199140.7,,479.8,,-2.6547,19.43292,,,1009.3,4623.7,240377.1,2148.5,222943.8,,537.1,,-4.02267,17.59245,,,1175.3,5685.7,295590.8,9.63675,507.3,,356.5,,,4843.0
1999-Q1,,,,-78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18359.7,1932767.5,,4589.9,42.1,1.62415,6.19852,,,9056.4,43636.5,2268598.5,,,,,,,,3490.5,,6685.6,11745.2,1236803.8,,2936.3,,14.05668,9.50907,,,5515.3,27779.6,1444221.5,2130.6,224358.0,,532.7,,6.79532,-5.93687,,,1087.0,5477.4,284764.6,,1043.9,,1896.2,4593.2,483717.1,,1148.3,,1.92108,8.37735,,,2170.5,9859.1,512559.1,,-47.0,,,,,,,,,,,2079.9,219013.4,,520.0,,3.15591,17.53617,,,1041.1,4769.6,247963.1,2251.3,237059.4,,562.8,,-4.7187,-5.83694,,,1119.8,5417.4,281642.8,9.49657,62.0,,62.5,,,1168.2
1999-Q2,,,,-66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19034.9,1996138.6,,4758.7,42.5,2.58223,7.53136,,,9290.2,44763.3,2327179.0,,,,,,,,3597.5,,6771.5,12068.8,1265995.5,,3017.2,,0.89068,2.64171,,,5564.4,28027.0,1457084.9,2426.5,254533.8,,606.6,,12.85351,2.44627,,,1226.8,6181.5,321366.8,,1404.3,,2666.1,4870.9,510987.1,,1217.7,,5.20592,11.86149,,,2283.5,10372.3,539242.5,,99.7,,,,,,,,,,,2068.7,216994.4,,517.2,,3.34429,42.72092,,,1075.9,4929.1,256255.7,2374.3,249052.1,,593.6,,2.05059,-13.50438,,,1142.8,5528.5,287418.1,9.53327,-25.8,,-106.1,,,781.8
1999-Q3,,,,-163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19425.0,2031937.8,,4856.2,42.9,1.24533,6.92997,,,9405.9,45320.7,2356160.0,,,,,,,,3659.0,,6825.9,12347.9,1292019.8,,3087.0,,0.27823,2.18941,,,5579.9,28105.0,1461138.9,2483.7,259872.1,,620.9,,3.62615,14.11748,,,1271.2,6405.6,333020.1,,1417.9,,2662.9,4984.7,521606.2,,1246.2,,2.02234,11.98808,,,2329.6,10582.1,550147.8,,159.1,,,,,,,,,,,2302.2,240888.1,,575.6,,-0.52353,3.23238,,,1070.3,4903.3,254914.2,2575.6,269494.9,,643.9,,7.92836,0.72271,,,1233.4,5966.8,310205.6,9.55722,-117.8,,-188.6,,,1291.5
1999-Q4,,,,-187.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19852.0,2079360.4,,4963.0,43.1,1.65076,7.28888,,,9561.2,46068.9,2395054.6,,,,,,,,4059.0,,6960.1,13534.6,1418067.9,,3383.6,,1.7754,17.44141,,,5679.0,28604.0,1487080.1,2547.1,266865.9,,636.8,,1.00246,26.1446,,,1284.0,6469.9,336358.5,,1419.4,,2644.8,5053.9,529556.4,,1263.5,,0.28445,9.70668,,,2336.3,10612.2,551712.7,,10.0,,,,,,,,,,,2350.1,246218.5,,587.5,,6.8277,13.28824,,,1143.4,5238.1,272318.9,2680.7,280862.3,,670.2,,7.93387,13.27042,,,1331.2,6440.2,334817.0,9.54457,-953.0,,-248.3,,,1585.0
2000-Q1,,,,-229.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20592.8,2131517.4,,5148.2,43.8,2.09953,7.79075,,,9761.9,47036.1,2445339.4,,,,,,,,3838.4,,6946.7,12937.8,1339552.6,,3234.4,,0.36902,3.34756,,,5699.9,28709.5,1492567.7,2490.4,257849.1,,622.6,,-5.07201,12.12712,,,1218.9,6141.7,319298.3,,1448.1,,2657.3,5284.7,547202.8,,1321.2,,3.42806,11.32877,,,2416.4,10976.0,570625.7,,176.6,,,,,,,,,,,2454.5,254132.2,,613.6,,8.69389,19.37017,,,1242.8,5693.4,295994.0,3034.6,314192.7,,758.7,,10.56917,31.44464,,,1471.9,7120.9,370204.3,9.65848,460.0,,-61.6,,,2636.3
2000-Q2,,,,-13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20717.3,2148373.8,,5179.3,44.0,0.13491,5.21917,,,9775.1,47099.6,2448638.3,,,,,,,,3898.0,,6958.2,13156.8,1364752.7,,3289.2,,0.38131,2.82579,,,5721.7,28819.0,1498259.0,2442.9,253395.1,,610.7,,-1.74647,-2.37889,,,1197.6,6034.4,313721.9,,1404.5,,2573.5,5187.7,538154.5,,1296.9,,-2.276,3.41141,,,2361.4,10726.2,557638.2,,55.8,,,,,,,,,,,2544.8,263968.5,,636.2,,0.5979,16.1979,,,1250.2,5727.5,297763.8,2812.6,291745.1,,703.2,,-14.14231,10.58763,,,1263.8,6113.8,317848.9,9.64064,197.7,,-6.4,,,1906.3
2000-Q3,,,,-47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21137.7,2190165.2,,5284.4,44.3,1.32769,5.30476,,,9904.9,47724.9,2481148.7,,,,,,,,3982.5,,7038.8,13434.2,1392385.1,,3358.6,,1.20535,3.77646,,,5790.6,29166.4,1516318.3,2574.2,266796.3,,643.5,,5.1658,-0.92846,,,1259.4,6346.2,329928.1,,1417.4,,2555.5,5246.1,543768.9,,1311.5,,-0.18904,1.16993,,,2356.9,10705.9,556584.1,,65.0,,,,,,,,,,,2759.6,286010.4,,689.9,,3.58836,21.00098,,,1295.1,5933.0,308448.6,3002.6,311196.5,,750.6,,6.21144,8.82841,,,1342.3,6493.6,337591.9,9.64854,126.1,,-33.5,,,2067.0
2000-Q4,,,,-6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21387.3,2202081.0,,5346.8,44.8,0.04189,3.63806,,,9909.0,47744.9,2482188.1,,,,,,,,4087.8,,7097.0,13778.9,1419121.0,,3444.7,,1.0237,3.00998,,,5849.9,29465.0,1531840.8,2555.1,263148.2,,638.8,,-1.93713,-3.81185,,,1235.0,6223.2,323537.0,,1426.1,,2517.1,5345.1,550543.9,,1336.3,,-0.93315,-0.05842,,,2334.9,10606.0,551390.4,,12.9,,,,,,,,,,,2982.1,307129.6,,745.5,,8.35056,22.72588,,,1403.2,6428.4,334205.8,3041.8,313271.8,,760.4,,5.05671,5.9274,,,1410.1,6821.9,354662.9,9.70968,-232.2,,-71.0,,,1844.2
2001-Q1,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21736.9,2229532.6,,5434.2,45.3,0.54066,2.0557,,,9962.6,48003.0,2495608.3,,,,,,,,4171.2,,7240.1,13995.0,1435873.0,,3498.8,,1.46715,4.13701,,,5935.7,29897.3,1554315.3,2861.4,293568.6,,715.3,,9.72345,11.18002,,,1355.1,6828.3,354995.9,,1424.9,,2474.3,5362.2,550196.4,,1340.6,,-0.98821,-4.32582,,,2311.8,10501.2,545941.4,,55.0,,,,,,,,,,,2921.2,299700.4,,730.3,,0.24621,13.18764,,,1406.7,6444.3,335028.7,3085.6,316577.0,,771.4,,-0.91649,-5.07608,,,1397.2,6759.4,351412.5,9.74689,-317.2,,-134.3,,,1091.4
2001-Q2,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22314.3,2291765.7,,5578.6,45.5,2.08137,4.03951,,,10169.9,49002.2,2547551.2,,,,,,,,4284.0,,7371.3,14449.7,1484477.3,,3612.4,,2.31853,6.14671,,,6073.4,30590.4,1590352.5,2710.4,278446.5,,677.6,,-6.09712,6.25698,,,1272.5,6412.0,333351.4,,1499.7,,2562.7,5812.4,597174.9,,1453.1,,6.51449,4.28028,,,2462.4,11185.3,581506.7,,2.3,,,,,,,,,,,2985.8,306736.4,,746.5,,0.88902,13.5152,,,1419.2,6501.6,338007.1,3189.6,327670.0,,797.4,,0.90683,11.56219,,,1409.9,6820.7,354599.2,9.73407,-454.5,,-115.9,,,1133.6
2001-Q3,,,,-60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22727.0,2328565.9,,5681.7,45.8,1.23686,3.94624,,,10295.7,49608.2,2579060.9,,,,,,,,4363.5,,7430.8,14754.7,1512185.6,,3688.7,,1.08302,6.0184,,,6139.1,30921.7,1607576.3,2742.6,281083.4,,685.7,,-1.16717,-0.1417,,,1257.6,6337.2,329460.6,,1498.8,,2558.6,5770.0,591401.8,,1442.5,,-0.64185,3.80719,,,2446.6,11113.5,577774.3,,-3.6,,,,,,,,,,,2837.0,290753.2,,709.3,,-4.87851,4.23695,,,1349.9,6184.4,321517.4,3206.7,328642.6,,801.7,,0.0235,5.06252,,,1410.2,6822.3,354682.5,9.75742,-170.7,,-39.0,,,1873.8
2001-Q4,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23407.2,2386469.6,,5851.8,46.1,2.29588,6.2882,,,10532.1,50747.2,2638273.1,,,,,,,,4454.7,,7519.9,15073.7,1537275.3,,3768.4,,1.24981,6.25569,,,6215.9,31308.2,1627668.0,2919.2,297709.2,,729.8,,6.98387,8.94263,,,1345.5,6779.8,352469.7,,1556.7,,2639.6,6058.0,617866.9,,1514.5,,4.15558,9.13941,,,2548.3,11575.3,601784.2,,-7.9,,,,,,,,,,,2899.1,295659.7,,724.8,,2.01272,-1.86026,,,1377.1,6308.9,327988.7,2973.5,303247.5,,743.4,,-3.83717,-3.83185,,,1356.1,6560.5,341072.8,9.80562,-569.3,,-134.4,,,1335.6
2002-Q1,,,,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23670.8,2411105.7,,5917.7,46.3,0.8071,6.56987,,,10617.1,51156.8,2659566.5,,,,,,,,4492.3,,7527.3,15279.7,1556844.8,,3819.9,,0.65392,5.40408,,,6256.5,31512.9,1638311.7,2718.5,276983.2,,679.6,,-4.41235,-5.09258,,,1286.1,6480.6,336917.5,,1598.2,,2715.5,6171.4,628849.4,,1542.9,,1.93941,12.36649,,,2597.7,11799.8,613455.2,,-1.5,,,,,,,,,,,2994.7,305124.4,,748.7,,4.54606,2.34923,,,1439.7,6595.7,342899.3,3115.7,317456.2,,778.9,,2.34731,-0.66408,,,1387.9,6714.5,349078.8,9.81473,-377.8,,-93.0,,,1482.3
